route name,sector name,grade,ascents,stars
Techo Don Pepo,Cabrerizo,7A,732,4
N.N.,Unknown Crag,6C+,595,3
zarzamora,Parking,7B,519,4
N.N.,Techos,6C+,513,4
La lagrima,Arrastradero,6C,482,3
N.N.,Arrastradero,6C+,481,4
ECLIPSE,Techos,7B,387,4
Zig Zag,Arrastradero,7A,372,3
Rammstein,Arrastradero,7B,367,4
a ciegas,Techos,7A+,365,2
Esperanza,Arrastradero,7A,306,3
Zooruyo,Parking,7A,306,3
El chorro,La fuente,7A+,304,3
Vuelo sin motor,Techos,7A,287,3
La rave,Parking,7A,281,3
gorillaz,Techos,7A,277,4
spider pig,Arrastradero,6C,269,3
El reloj de arena,Arrastradero,7A,265,4
El Varano,Arrastradero,7C+,263,3
El plus del autobus,La fuente,7A+,254,3
Confusion,Parking,6C,251,4
Techo de menos,Arrastradero,6C,244,3
Zarzamora,Aeroline,7A+,237,4
N.N.,Parking,6B+,229,4
El pan canario,Techos,7A,229,3
Con el mantel en el bolsillo,La fuente,7A,224,4
Aeroline,Parking,7B,224,4
palpant,Cabrerizo,7B+,220,3
Ineschakra,Arrastradero,7B+,219,4
El pais de las bicicletas,Arrastradero,7A,216,2
Por la Boca muere el Pez,La fuente,7A,209,3
La Fuente,La fuente,7C,207,3
manuchakra,Arrastradero,7B+,199,3
Doctor Zoiberg,La fuente,7B,198,3
Cazo Tanks,Arrastradero,6B+,184,3
A oscuras,Techos,7A+,183,4
N.N.,Peninsula,6C+,182,3
Nisu,Tierra media,7A,180,4
Empotration,Parking,7A,172,3
Metodo Bizarro,Cabrerizo,6C+,167,3
El Jacuzzi,Arrastradero,6B,167,2
Pilas Hacendado,La fuente,7A,164,3
La Letrina,Parking,6C+,161,3
Afropussy,Techos,7A,161,3
Tiro al bidedo,Techos,7A,160,3
megamantel,Arrastradero,7A,159,4
PAR-B4-L4,Parking,6B,159,4
Periñan del Campo,Tierra media,7A+,156,3
PAR-B4-L5,Parking,6A+,151,3
