_id,route name,sector name,grade,ascents,stars
5fd77b5c6dfc313795a6df2f,Top of the rock,Oasis,7a,558,3
5fd77b5c6dfc313795a6df30,Plan Zeta 2,Oasis,7a,469,4
5fd77b5c6dfc313795a6df31,Sendero Luminoso,Chorreras,7a+,437,4
5fd77b5c6dfc313795a6df32,El oasis,Oasis,7a,399,3
5fd77b5c6dfc313795a6df33,Daños colaterales,Oasis,7b+,385,4
5fd77b5c6dfc313795a6df34,La Miguel Gomez,Oasis,7a,323,3
5fd77b5c6dfc313795a6df35,Magnetorresistencia,Oasis,6b+,319,4
5fd77b5c6dfc313795a6df36,Las Caquitas de Nazarten,Oasis,7b,295,3
5fd77b5c6dfc313795a6df37,"Dale duro, negro",Sex Shop,7b,287,4
5fd77b5c6dfc313795a6df38,Sendero sinuoso,Oasis,7a+,276,4
5fd77b5c6dfc313795a6df39,Cantina Marina,Chorreras,6c+,276,4
5fd77b5c6dfc313795a6df3a,Nibelungalos,Algarrobo,7c,276,4
5fd77b5c6dfc313795a6df3b,Cantalobos,Tierra de nadie,7b,276,3
5fd77b5c6dfc313795a6df3c,Conflicto territorial,Sex Shop,7a+,273,3
5fd77b5c6dfc313795a6df3d,Blue agave,Muro de las lamentaciones,7a,262,4
5fd77b5c6dfc313795a6df3e,Tequila Sunrise,Balconcito,8a,247,4
5fd77b5c6dfc313795a6df3f,Richar line,Oasis,7a,246,4
5fd77b5c6dfc313795a6df40,Panza con panza,Sex Shop,6c,233,3
5fd77b5c6dfc313795a6df41,Pompas finas,Chorreras,7a,228,4
5fd77b5c6dfc313795a6df42,Que hago jugando a la petanca con este cacho de tr,Oasis,6c,223,3
5fd77b5c6dfc313795a6df43,El muro de las lamentaciones,Muro de las lamentaciones,7a,222,4
5fd77b5c6dfc313795a6df44,Los Pagafantas,Oasis,6a+,217,3
5fd77b5c6dfc313795a6df45,Animula vagula blandula,Oasis,7b,216,4
5fd77b5c6dfc313795a6df46,Hipotermia,Algarrobo,7c,213,3
5fd77b5c6dfc313795a6df47,Revuelta en el frenopático,El Ramallar,7b+,211,3
5fd77b5c6dfc313795a6df48,Los franceses,Pared De Enfrente,7b+,208,4
5fd77b5c6dfc313795a6df49,Long dong John,Chorreras,6b+,203,4
5fd77b5c6dfc313795a6df4a,El catador de sake,Muro de las lamentaciones,7a+,203,4
5fd77b5c6dfc313795a6df4b,La Diagonal,Sex Shop,6c+,199,4
5fd77b5c6dfc313795a6df4c,Animáculos de la placa,Oasis,7b,197,4
5fd77b5c6dfc313795a6df4d,Nazgul,Oasis,6b+,189,3
5fd77b5c6dfc313795a6df4e,N.N.,Unknown Sector,6c+,188,3
5fd77b5c6dfc313795a6df4f,Camina o revienta,Pared De Enfrente,7a+,187,3
5fd77b5c6dfc313795a6df50,El Bufa,Balconcito,8a,187,4
5fd77b5c6dfc313795a6df51,Eco-dildo,Sex Shop,7a,182,3
5fd77b5c6dfc313795a6df52,Entre dos caminos,Pared De Enfrente,8a,178,4
5fd77b5c6dfc313795a6df53,Cap i cua,Oasis,7a+,170,3
5fd77b5c6dfc313795a6df54,Sondaas,Muro de las lamentaciones,7a,167,3
5fd77b5c6dfc313795a6df55,super zeb,Pared blanca,7c,164,4
5fd77b5c6dfc313795a6df56,Bolas chinas,Sex Shop,6b+,163,2
5fd77b5c6dfc313795a6df57,Camino de Leche,Chorreras,7a+,162,4
5fd77b5c6dfc313795a6df58,Pin pam pons,Chorreras,7a+,159,4
5fd77b5c6dfc313795a6df59,Chamarilero,Oasis,6c+,157,3
5fd77b5c6dfc313795a6df5a,Gargola R1,Oasis,6b,157,3
5fd77b5c6dfc313795a6df5b,Moon Safari,Balconcito,7c+,155,4
5fd77b5c6dfc313795a6df5c,Los caminantes,Chorreras,7b+,155,4
5fd77b5c6dfc313795a6df5d,El ramallito,Muro de las lamentaciones,6c,149,4
5fd77b5c6dfc313795a6df5e,Super furry animal,Oasis,7a,148,4
5fd77b5c6dfc313795a6df5f,La paz del borrego,Chorreras,7b,147,4
5fd77b5c6dfc313795a6df60,Olog-Hai,Oasis,6c+,142,3
5fd77b5c6dfc313795a6df61,Gargola,Oasis,7a+,140,3
5fd77b5c6dfc313795a6df62,Dumbo love,Pared De Enfrente,7a,139,3
5fd77b5c6dfc313795a6df63,Plan Z,El oasis,7a,138,4
5fd77b5c6dfc313795a6df64,El Ramallar,Pared De Enfrente,7c+,136,4
5fd77b5c6dfc313795a6df65,Blue Agave,Muro de los lamentos,7a,133,4
5fd77b5c6dfc313795a6df66,Bavarian purity,Muro de las lamentaciones,6b,129,3
5fd77b5c6dfc313795a6df67,Los merenderas,Chorreras,7b,129,4
5fd77b5c6dfc313795a6df68,Rock punk,Oasis,7b+,128,3
5fd77b5c6dfc313795a6df69,El planeta Namec,Algarrobo,8a,127,3
5fd77b5c6dfc313795a6df6a,El Gran Dinosaurio Blanco,Cañaveral,7b,127,4
5fd77b5c6dfc313795a6df6b,Nos sobran potxolos,Muro de las lamentaciones,7a,126,2
5fd77b5c6dfc313795a6df6c,Sin pena ni gloria,Oasis,7a+,125,3
5fd77b5c6dfc313795a6df6d,Pasajeros del silencio,Oasis,6c+,123,3
5fd77b5c6dfc313795a6df6e,Kaplan,Cañaveral,7a,123,3
5fd77b5c6dfc313795a6df6f,Yorkshire pudding,Muro de las lamentaciones,6b,123,3
5fd77b5c6dfc313795a6df70,Orgía sado en el internado,Oasis,6c+,122,2
5fd77b5c6dfc313795a6df71,Los franceses,El Ramallar,7b+,122,4
5fd77b5c6dfc313795a6df72,Presiscrack,Muro de las lamentaciones,6c,121,4
5fd77b5c6dfc313795a6df73,Cap i cua,Oasis,7c+,119,4
5fd77b5c6dfc313795a6df74,Sensacion azul,Sex Shop,7b+,119,3
5fd77b5c6dfc313795a6df75,los incredulos,Algarrobo,7c+,116,4
5fd77b5c6dfc313795a6df76,Xevo,Oasis,7a,115,3
5fd77b5c6dfc313795a6df77,Chevo,Oasis,7a+,108,3
5fd77b5c6dfc313795a6df78,Abril 4x4,Algarrobo,7a+,108,3
5fd77b5c6dfc313795a6df79,La fragonoide,El oasis,6b+,107,3
5fd77b5c6dfc313795a6df7a,El Diablo viste de Prana,Loriguilla,7c+,107,4
5fd77b5c6dfc313795a6df7b,Siempre se puede hacer menos,Pared blanca,8a,106,4
5fd77b5c6dfc313795a6df7c,Brazo corto bolsillo largo,Pared blanca,7a,105,4
5fd77b5c6dfc313795a6df7d,Ansia,Cañaveral,7a,105,2
5fd77b5c6dfc313795a6df7e,Todo por el club,Chorreras,6c+,103,4
5fd77b5c6dfc313795a6df7f,los veteranos,Balcon,8a,101,4
5fd77b5c6dfc313795a6df80,magic line,Chorreras,7a,100,4
5fd77b5c6dfc313795a6df81,Serengueti,Serengueti,7a+,99,4
5fd77b5c6dfc313795a6df82,La Boca de la voz,Pared De Enfrente,8a,99,4
5fd77b5c6dfc313795a6df83,El regalito,Pared enfrente,7b,97,3
5fd77b5c6dfc313795a6df84,periclonica,Pared blanca,7a,95,3
5fd77b5c6dfc313795a6df85,"Ka'lamarta",Algarrobo,7b+,94,4
5fd77b5c6dfc313795a6df86,Placebo,Masters,7a,94,3
5fd77b5c6dfc313795a6df87,Miguel Gomez,Oasis,7a+,93,3
5fd77b5c6dfc313795a6df88,El viaje a Cuba,El oasis,7a,92,3
5fd77b5c6dfc313795a6df89,Richi,El oasis,6b+,91,2
5fd77b5c6dfc313795a6df8a,Mecano en dios,Masters,6b+,90,3
5fd77b5c6dfc313795a6df8b,Norantados,Ceguera,6b,89,3
5fd77b5c6dfc313795a6df8c,El Rey de la Palanca,Loriguilla,7c+,88,4
5fd77b5c6dfc313795a6df8d,Las roturas,El Ramallar,6c,88,2
5fd77b5c6dfc313795a6df8e,Mi gozo en tu pozo,Muro de las lamentaciones,6b+,88,3
5fd77b5c6dfc313795a6df8f,La ira de Bárbol,Oasis,7a+,87,3
5fd77b5c6dfc313795a6df90,Tracy family,El Ramallar,6b,87,2
5fd77b5c6dfc313795a6df91,"Samba man, Kombi style",Pared blanca,7a+,86,4
5fd77b5c6dfc313795a6df92,Las lituanas,Muro de las lamentaciones,6b,84,3
5fd77b5c6dfc313795a6df93,El remanso de las mulas,Pared De Enfrente,7c+,84,4
5fd77b5c6dfc313795a6df94,El ramallito,Muro de los lamentos,6c,82,4
5fd77b5c6dfc313795a6df95,La guarida del murcielago,Competicion,7a+,80,4
5fd77b5c6dfc313795a6df96,Seguí lluitan,Nanopark,7b,80,4
5fd77b5c6dfc313795a6df97,El Cachalote,Oasis,7b+,80,4
5fd77b5c6dfc313795a6df98,Gargola,Oasis,6b,80,3
5fd77b5c6dfc313795a6df99,El corral de la tia poya,Pared De Enfrente,7b+,79,3
5fd77b5c6dfc313795a6df9a,ASILO DE ANCIANOS,LA CEGUERA,6b+,78,3
5fd77b5c6dfc313795a6df9b,Los Posaderos,Pared De Enfrente,7c,77,4
5fd77b5c6dfc313795a6df9c,super cantina marina,Chorreras,7c+,77,4
5fd77b5c6dfc313795a6df9d,"altos,guapos y fuertes",Pared blanca,8a,76,4
5fd77b5c6dfc313795a6df9e,Curriculo Vaginal,Sex Shop,7c,74,3
