_id,route name,sector name,grade,ascents,stars
5fd7773c6dfc313795a6d485,Ayahuasca,Sombretivo,7a,328,4
5fd7773c6dfc313795a6d486,Al tran tran,Alfar,6c+,325,4
5fd7773c6dfc313795a6d487,Euforia,Alfar,7a,288,4
5fd7773c6dfc313795a6d488,Es una dama,Martín Alhaja,7a+,250,3
5fd7773c6dfc313795a6d489,Capitán Trueno,Alfar,7a,231,3
5fd7773c6dfc313795a6d48a,Dos pegues,Sombretivo,7c,228,4
5fd7773c6dfc313795a6d48b,Brujas,Sombretivo,6c,218,3
5fd7773c6dfc313795a6d48c,Action roco,Paúles,7a+,208,3
5fd7773c6dfc313795a6d48d,La guarra,Alfar,6c,197,4
5fd7773c6dfc313795a6d48e,El Gato con Botas,Alfar,7a,197,4
5fd7773c6dfc313795a6d48f,N.N.,Unknown Sector,7a,192,3
5fd7773c6dfc313795a6d490,Nocturna,Fortín,6b,188,4
5fd7773c6dfc313795a6d491,Alfarzar 1,Alfar,6a,188,2
5fd7773c6dfc313795a6d492,La Ñora,Sombretivo,7a+,187,3
5fd7773c6dfc313795a6d493,Amor al Sikadur,Sombretivo,7b+,187,4
5fd7773c6dfc313795a6d494,El ladron de cuerdas,Rincón de la Ermita,7c,170,3
5fd7773c6dfc313795a6d495,Tocando braga,Fortín,7a,168,3
5fd7773c6dfc313795a6d496,Arte de liar,Sombretivo,6c,167,3
5fd7773c6dfc313795a6d497,aves de rapiña,Rincón de la Ermita,7b,166,4
5fd7773c6dfc313795a6d498,Aprendiendo a aprender,Fortín,7b,164,4
5fd7773c6dfc313795a6d499,Ceska (j) elita,Merendero,7a,156,4
5fd7773c6dfc313795a6d49a,el excluido,Merendero,7b+,156,4
5fd7773c6dfc313795a6d49b,pezon de fresa,Paúles,7a,152,3
5fd7773c6dfc313795a6d49c,Cría cuervos,Fortín,7b+,150,4
5fd7773c6dfc313795a6d49d,La niña de los pollos,Paúles,7a,149,3
5fd7773c6dfc313795a6d49e,Las independientes por Cuenca,Valdecabras Sur,7a,146,3
5fd7773c6dfc313795a6d49f,Navidad en el Alfarzar,Alfar,6a,145,2
5fd7773c6dfc313795a6d4a0,El alquimista loco,Rincón de la Ermita,7b,142,3
5fd7773c6dfc313795a6d4a1,Obrigado,Valdecabras Sur,7a,141,3
5fd7773c6dfc313795a6d4a2,Siempre igual,Paúles,6b,139,4
5fd7773c6dfc313795a6d4a3,un buchaca en la placa,El Camino,7b,138,4
5fd7773c6dfc313795a6d4a4,Monte de venus,Piscinas,6c,132,4
5fd7773c6dfc313795a6d4a5,Hare gaina,El Camino,7a,131,3
5fd7773c6dfc313795a6d4a6,Víctor terremoto,Alfar,6b+,131,3
5fd7773c6dfc313795a6d4a7,Aguantoformo,Fortín,7b,130,4
5fd7773c6dfc313795a6d4a8,"Apágalas, apágalas",Paúles,6c+,130,4
5fd7773c6dfc313795a6d4a9,N.N.,Valdecabras Sur,6c+,129,3
5fd7773c6dfc313795a6d4aa,Antisocial,Sombretivo,7b+,129,4
5fd7773c6dfc313795a6d4ab,al pan pan,Piscinas,7a+,129,4
5fd7773c6dfc313795a6d4ac,Sergio pal 92,Paúles,7a,126,4
5fd7773c6dfc313795a6d4ad,El Arca de Noé,Cueva de la Zarza,7b+,126,4
5fd7773c6dfc313795a6d4ae,El vicio del Matas me mata,Alfar,6a+,126,2
5fd7773c6dfc313795a6d4af,Un trocito de mi,Fortín,7a,125,3
5fd7773c6dfc313795a6d4b0,"Una de callos pa'los de Galayos",Paúles,6b,124,4
5fd7773c6dfc313795a6d4b1,Baibon,Piscinas,7c,123,4
5fd7773c6dfc313795a6d4b2,Diurna,Fortín,6a+,122,2
5fd7773c6dfc313795a6d4b3,Cuéncame tus penas,Portero de Noche,7a,122,3
5fd7773c6dfc313795a6d4b4,"Chule, comandante en vuelo",Sombretivo,7a,121,3
5fd7773c6dfc313795a6d4b5,Tragar antes de usar,Valdecabras Norte,7b,121,3
5fd7773c6dfc313795a6d4b6,Bonnie and Clyde,Alfar,7a+,120,4
5fd7773c6dfc313795a6d4b7,Los criados del Sensei,Portero de Noche,7b,120,4
5fd7773c6dfc313795a6d4b8,Pulidor de nabos,Fortín,7a+,118,3
5fd7773c6dfc313795a6d4b9,Mirando pa cuenca,Juego de bolos,7a,117,3
5fd7773c6dfc313795a6d4ba,A la sombra de mi sombra,Cueva de la Zarza,7a,116,4
5fd7773c6dfc313795a6d4bb,Denominación de origen,Valdecabras Sur,7a,114,3
5fd7773c6dfc313795a6d4bc,Maciste,Martín Alhaja,8a,113,4
5fd7773c6dfc313795a6d4bd,Merengue,Portero de Noche,6c,113,3
5fd7773c6dfc313795a6d4be,Peinaovejas,Valdecabras Sur,6b,113,3
5fd7773c6dfc313795a6d4bf,woody,El Camino,7a+,112,4
5fd7773c6dfc313795a6d4c0,Frikimanía,Valdecabras Sur,7a,112,3
5fd7773c6dfc313795a6d4c1,Javivi,Gena,7a+,112,4
5fd7773c6dfc313795a6d4c2,Lajas gemelas,Fortín,6b+,112,2
5fd7773c6dfc313795a6d4c3,Capitán Entresijos,Valdecabras Norte,7b+,111,4
5fd7773c6dfc313795a6d4c4,Pierre Nodoyuna,El Camino,7c,110,3
5fd7773c6dfc313795a6d4c5,Próximo bambino,Rincón de la Ermita,7a+,110,3
5fd7773c6dfc313795a6d4c6,Círculo vicioso,Alfar,6b,109,2
5fd7773c6dfc313795a6d4c7,Patapalo,Paúles,6b,109,4
5fd7773c6dfc313795a6d4c8,Goliath,Martín Alhaja,8a+,108,4
5fd7773c6dfc313795a6d4c9,bailarinas finas,El Camino,6b+,106,3
5fd7773c6dfc313795a6d4ca,Don barriga,Paúles,7a,106,3
5fd7773c6dfc313795a6d4cb,La floja floja,Valdecabras Sur,6b,104,3
5fd7773c6dfc313795a6d4cc,Exogénesis,Paúles,7b,103,4
5fd7773c6dfc313795a6d4cd,Señorita incertidumbre,Valdecabras Norte,7c+,102,5
5fd7773c6dfc313795a6d4ce,flotador olivar,Piscinas,7a,100,3
5fd7773c6dfc313795a6d4cf,los laureles,Paúles,7a,100,3
5fd7773c6dfc313795a6d4d0,Mar adentro,Cueva de la Zarza,6a+,99,3
5fd7773c6dfc313795a6d4d1,alcoholismo deportivo,Las colmenas,7a,98,4
5fd7773c6dfc313795a6d4d2,Sudor y sangre,Alfar,6b,97,3
5fd7773c6dfc313795a6d4d3,Cazaprimeras,Alfar,8a,97,4
5fd7773c6dfc313795a6d4d4,Bajando pal sur,Sombretivo,7a,96,4
5fd7773c6dfc313795a6d4d5,Imaginación,Merendero,7a,96,4
5fd7773c6dfc313795a6d4d6,ELIMINATORIA2,Cueva de la Zarza,7a,95,3
5fd7773c6dfc313795a6d4d7,Ostiavez otras,Alfar,6a+,95,3
5fd7773c6dfc313795a6d4d8,FC1,Paúles,6a,94,2
5fd7773c6dfc313795a6d4d9,El golfo,Alfar,6b+,94,4
5fd7773c6dfc313795a6d4da,Deep purple,Valdecabras Sur,6c,94,3
5fd7773c6dfc313795a6d4db,DURA DE PELAR,Cueva de la Zarza,7a,93,3
5fd7773c6dfc313795a6d4dc,fito,Rincón de la Ermita,6c+,93,3
5fd7773c6dfc313795a6d4dd,Juanita la larga,Merendero,6a,93,3
5fd7773c6dfc313795a6d4de,Pal Toño,Sombretivo,6a,93,2
5fd7773c6dfc313795a6d4df,El mago de la risa,Sombretivo,7b,92,3
5fd7773c6dfc313795a6d4e0,Alambrado sea Dios,Martín Alhaja,7b+,92,3
5fd7773c6dfc313795a6d4e1,Argonautas,Desierto,6b+,92,4
5fd7773c6dfc313795a6d4e2,Mierdolito,Portero de Noche,6b+,91,3
5fd7773c6dfc313795a6d4e3,Mía,Martín Alhaja,6c,90,3
5fd7773c6dfc313795a6d4e4,Lastritis crepitante,El Camino,7b+,90,4
5fd7773c6dfc313795a6d4e5,Picaflor,Valdecabras Sur,7a,90,4
5fd7773c6dfc313795a6d4e6,Masmona,Valdecabras Sur,7b+,90,4
5fd7773c6dfc313795a6d4e7,Bocachancla,Paúles,7a+,90,4
5fd7773c6dfc313795a6d4e8,como la moto del curilla,Merendero,7b+,89,4
5fd7773c6dfc313795a6d4e9,Paula,Valdecabras Sur,6c,89,4
5fd7773c6dfc313795a6d4ea,Don Paquete,Las colmenas,6a+,88,3
5fd7773c6dfc313795a6d4eb,La lobata,Desierto,7a,88,3
5fd7773c6dfc313795a6d4ec,Aitor-Menta,Sombretivo,6a+,87,2
5fd7773c6dfc313795a6d4ed,N.N.,Merendero,6c+,86,4
5fd7773c6dfc313795a6d4ee,Todo son cazuelas,Valdecabras Sur,6c+,86,4
5fd7773c6dfc313795a6d4ef,Elefante,Martín Alhaja,7b,86,2
5fd7773c6dfc313795a6d4f0,Por qué tengo este trabuco,Fortín,7a,85,3
5fd7773c6dfc313795a6d4f1,Arroyito y pozuelon,Las colmenas,6b+,84,3
5fd7773c6dfc313795a6d4f2,Flipe,Fortín,7a+,84,3
5fd7773c6dfc313795a6d4f3,Josejesú superstar,Rincón de la Ermita,7b,84,3
5fd7773c6dfc313795a6d4f4,Espolón López,Valdecabras Sur,7a,83,4
5fd7773c6dfc313795a6d4f5,Dolores,Gena,7a,83,4
5fd7773c6dfc313795a6d4f6,Ochocé,Paúles,7a,82,2
5fd7773c6dfc313795a6d4f7,Vinagrito,Valdecabras Sur,7b,82,4
5fd7773c6dfc313795a6d4f8,N.N.,Paúles,6c+,82,3
5fd7773c6dfc313795a6d4f9,Generación nini,Valdecabras Sur,6c,82,3
5fd7773c6dfc313795a6d4fa,Calma extrema,Paúles,7b,82,4
5fd7773c6dfc313795a6d4fb,La Hormiga,Piscinas,6c+,81,3
5fd7773c6dfc313795a6d4fc,La pala del enterrador,Valdecabras Sur,6c,80,3
5fd7773c6dfc313795a6d4fd,Brazilian style,Valdecabras Sur,6a,80,3
5fd7773c6dfc313795a6d4fe,Deuda subordinada,Paúles,7b+,79,4
5fd7773c6dfc313795a6d4ff,Ojo crítico,Sombretivo,7a,79,3
5fd7773c6dfc313795a6d500,Public enemy,Martín Alhaja,8b,79,4
5fd7773c6dfc313795a6d501,El capataz,Valdecabras Sur,6c+,79,4
5fd7773c6dfc313795a6d502,Ayudo Arturame,Alfar,6b+,79,3
5fd7773c6dfc313795a6d503,koala,Paúles,7a,78,3
5fd7773c6dfc313795a6d504,Tetas y cerveza,Alfar,7b,77,4
5fd7773c6dfc313795a6d505,Licaón,El Camino,7b,77,4
5fd7773c6dfc313795a6d506,Cuenca oscura,Merendero,7b,77,4
5fd7773c6dfc313795a6d507,A la calle,Desierto,6c,77,4
5fd7773c6dfc313795a6d508,3 de octubre,Fortín,7b+,77,4
5fd7773c6dfc313795a6d509,Los empanadillas,Cueva de la Zarza,7a,76,2
5fd7773c6dfc313795a6d50a,Tirando de Visa,Bolo,7b,76,4
5fd7773c6dfc313795a6d50b,Rasca y pica,Martín Alhaja,7c,76,3
5fd7773c6dfc313795a6d50c,Cerámica 200,Fortín,6a+,76,2
5fd7773c6dfc313795a6d50d,Arrambla,Paúles,6b,76,2
5fd7773c6dfc313795a6d50e,Sartenada de Regletas,Valdecabras Sur,7a,76,3
5fd7773c6dfc313795a6d50f,Gatuchi,Alfar,6a+,76,3
5fd7773c6dfc313795a6d510,Braguitas de leopardo,El Camino,7a+,75,3
5fd7773c6dfc313795a6d511,Sin colorantes ni conservantes,Sombretivo,7c+,75,4
5fd7773c6dfc313795a6d512,Juanma que me mato,Paúles,6a+,74,2
5fd7773c6dfc313795a6d513,Manos de trapo,Merendero,7a+,74,3
5fd7773c6dfc313795a6d514,Seis coronas,Valdecabras Sur,6c,74,2
5fd7773c6dfc313795a6d515,El Centurion,Rincón de la Ermita,6c,73,3
5fd7773c6dfc313795a6d516,La princesa de la boca de fresa,Alfar,7a,73,4
5fd7773c6dfc313795a6d517,"bueno sí, bueno no",Los Hocinos,7a+,73,4
5fd7773c6dfc313795a6d518,Prima de riesgo,Primate,6b,72,2
5fd7773c6dfc313795a6d519,Bailarinas con patines,El Camino,6b,72,3
5fd7773c6dfc313795a6d51a,Fístula Lunar,Paúles,6c+,72,3
5fd7773c6dfc313795a6d51b,La rosa y la serpiente,Portero de Noche,7a,72,3
5fd7773c6dfc313795a6d51c,"traga, bonita, traga",Valdecabras Norte,8a,71,4
5fd7773c6dfc313795a6d51d,Ultratumba,Gena,7b,71,3
5fd7773c6dfc313795a6d51e,el tonto del tambor,Paúles,7b,71,3
5fd7773c6dfc313795a6d51f,23+22,Fortín,6a,70,2
5fd7773c6dfc313795a6d520,Etelvina la divina,Piscinas,6a+,70,3
5fd7773c6dfc313795a6d521,wasabi,El Camino,7b,70,3
5fd7773c6dfc313795a6d522,Alpi,Juego de bolos,6c+,70,3
5fd7773c6dfc313795a6d523,Pacornisas,Valdecabras Sur,7c,70,4
5fd7773c6dfc313795a6d524,Fisura Lola,Valdecabras Norte,6c+,70,2
5fd7773c6dfc313795a6d525,Igorcan,Juego de bolos,7a,69,3
5fd7773c6dfc313795a6d526,Azul,Rincón de la Ermita,7c,68,4
5fd7773c6dfc313795a6d527,Aprieta Jabato,Primate,6b+,68,3
5fd7773c6dfc313795a6d528,Plastiplasma plus,Las colmenas,7b,67,4
5fd7773c6dfc313795a6d529,Gandalf el Gris,Juego de bolos,6c+,67,4
5fd7773c6dfc313795a6d52a,Alma de León,Piscinas,7c,67,4
5fd7773c6dfc313795a6d52b,Sandón y melía,Rincón de la Ermita,7b+,66,4
5fd7773c6dfc313795a6d52c,Mama Africa,Piscinas,8a,66,4
5fd7773c6dfc313795a6d52d,Lucas,Primate,7a,66,3
5fd7773c6dfc313795a6d52e,Slash,Juego de bolos,6c+,66,3
5fd7773c6dfc313795a6d52f,Nanomaquinas,Valdecabras Sur,7b,66,4
5fd7773c6dfc313795a6d530,EL ENGENDRO,Piscinas,7b,66,4
5fd7773c6dfc313795a6d531,Ying Yang,Gena,6b+,66,3
5fd7773c6dfc313795a6d532,La hija del basurero,Alfar,6c,65,2
5fd7773c6dfc313795a6d533,El arte de expansionar,Fortín,6c+,65,3
5fd7773c6dfc313795a6d534,F. Tinnunculus,Fortín,7c,65,4
5fd7773c6dfc313795a6d535,Aparición felina,Paúles,6b+,65,2
5fd7773c6dfc313795a6d536,franja de gaza,Valdecabras Sur,8a,65,4
5fd7773c6dfc313795a6d537,Indigente intelectual,Portero de Noche,7a,65,3
5fd7773c6dfc313795a6d538,aromas de quesin,Paúles,7a+,65,3
