_id,route name,sector name,grade,ascents,stars
5fd796dc6dfc313795a73290,Poema de Roca,Poema de Roca,7a,745,4
5fd796dc6dfc313795a73291,Viejo Amigo,Poema de Roca,7a,402,3
5fd796dc6dfc313795a73292,Life is Sweet,Makinodromo,6c,379,4
5fd796dc6dfc313795a73293,Hakuna Matata,Makinodromo,7a+,349,4
5fd796dc6dfc313795a73294,Bienvenidos al Circo,Suizo,7b,331,3
5fd796dc6dfc313795a73295,Viejo Traidor,Poema de Roca,7b+,327,4
5fd796dc6dfc313795a73296,Little Brown Baby,Castrojo,7a+,316,4
5fd796dc6dfc313795a73297,Coño Paco,Suizo,7a,306,3
5fd796dc6dfc313795a73298,N.N.,Unknown Sector,7a,278,2
5fd796dc6dfc313795a73299,Lourdes,Makinodromo,8a,270,4
5fd796dc6dfc313795a7329a,"Sexo, drogas y flamenco",Suizo,7a+,263,4
5fd796dc6dfc313795a7329b,Las loi Laufen,Makinodromo,7b,248,4
5fd796dc6dfc313795a7329c,El orejazo,Momia,7a,245,3
5fd796dc6dfc313795a7329d,La Villa Strangiato,Poema de Roca,7b,228,3
5fd796dc6dfc313795a7329e,Anck Su Namun,Momia,7b,221,4
5fd796dc6dfc313795a7329f,Alicia,Suizo,7b+,218,3
5fd796dc6dfc313795a732a0,Luna,Castrojo,6a+,198,2
5fd796dc6dfc313795a732a1,Trainspotting,Makinodromo,7b+,197,3
5fd796dc6dfc313795a732a2,N.N.,Unknown Sector,7a,195,3
5fd796dc6dfc313795a732a3,Habana Club,Momia,7a,190,3
5fd796dc6dfc313795a732a4,Un monton de chatarra,Castrojo,6a,186,3
5fd796dc6dfc313795a732a5,Sara,Las Encantadas,7a+,186,4
5fd796dc6dfc313795a732a6,Garcia Aguas,Poema de Roca,6b,185,2
5fd796dc6dfc313795a732a7,Rima Libre,Poema de Roca,7c+,185,3
5fd796dc6dfc313795a732a8,Putiferio,Los Albercones,5c+,184,3
5fd796dc6dfc313795a732a9,Que Leche Que Tengo,Suizo,6b,182,3
5fd796dc6dfc313795a732aa,Eye of the Storm,Poema de Roca,7c,176,4
5fd796dc6dfc313795a732ab,Vete al Infierno,Makinodromo,7b,174,2
5fd796dc6dfc313795a732ac,N.N.,Makinodromo,6c+,170,3
5fd796dc6dfc313795a732ad,Seco y Pedro,Momia,6b,165,3
5fd796dc6dfc313795a732ae,Honk Down,Momia,7c,159,4
5fd796dc6dfc313795a732af,Simon ha perdido el panadero,Castrojo,6c+,156,3
5fd796dc6dfc313795a732b0,Vivac Porus,Poema de Roca,7a+,155,3
5fd796dc6dfc313795a732b1,Salida de Emergencia,Makinodromo,6c,155,2
5fd796dc6dfc313795a732b2,Irmchen 6b,Suizo,6a+,154,3
5fd796dc6dfc313795a732b3,Para que disfrute la Canalla,Las Encantadas,6b,149,2
5fd796dc6dfc313795a732b4,La Ley del Cateto,Las Encantadas,6c+,147,3
5fd796dc6dfc313795a732b5,Stonker,Poema de Roca,6b,143,2
5fd796dc6dfc313795a732b6,Big Fun,Castrojo,6a+,140,3
5fd796dc6dfc313795a732b7,Arabesque,Escalera Arabe,7a,138,4
5fd796dc6dfc313795a732b8,Morritos Jaeger,Poema de Roca,7b,138,3
5fd796dc6dfc313795a732b9,Zulu Express,Los Albercones,6a+,136,3
5fd796dc6dfc313795a732ba,La Chica Pelirroja,Los Albercones,6a,135,3
5fd796dc6dfc313795a732bb,Crisis de Identidad,Las Encantadas,6a+,133,2
5fd796dc6dfc313795a732bc,El vuelo de los peluos,Los Albercones,6a+,130,2
5fd796dc6dfc313795a732bd,Fiebre del sur,Las Encantadas,7a,128,3
5fd796dc6dfc313795a732be,Gros Rouge,Las Encantadas,7b,127,4
5fd796dc6dfc313795a732bf,Instinto,Castrojo,6b+,119,2
5fd796dc6dfc313795a732c0,Punk Street,Makinodromo,7a,119,3
5fd796dc6dfc313795a732c1,Programa genocida,Las Encantadas,6b+,118,3
5fd796dc6dfc313795a732c2,Gabi,Los Albercones,6a,117,3
5fd796dc6dfc313795a732c3,Insominio de equipmiento,Momia,6c+,116,3
5fd796dc6dfc313795a732c4,Anatema,Makinodromo,7b,115,3
5fd796dc6dfc313795a732c5,Talibania,Poema de Roca,7c+,115,3
5fd796dc6dfc313795a732c6,El Senor de las Tinieblas,Poema de Roca,6b+,113,3
5fd796dc6dfc313795a732c7,Mysthic rythem,Makinodromo,6b+,113,3
5fd796dc6dfc313795a732c8,Pepe el Boludo,Makinodromo,8a,108,4
5fd796dc6dfc313795a732c9,Rock the Kasbah,Escalera Arabe,7b,107,3
5fd796dc6dfc313795a732ca,Generación limite,Las Encantadas,7b+,107,4
5fd796dc6dfc313795a732cb,Redders,Las Encantadas,7a,107,3
5fd796dc6dfc313795a732cc,Heat Exchange,Makinodromo,6c+,107,3
5fd796dc6dfc313795a732cd,Amor Sandunguero,Escalera Arabe,6c,106,4
5fd796dc6dfc313795a732ce,"Bueno, bonito y barato",Las Encantadas,6c+,106,2
5fd796dc6dfc313795a732cf,Judea del frenta popular,Suizo,7a+,105,4
5fd796dc6dfc313795a732d0,Malditos roedores,Los Albercones,6c+,105,2
5fd796dc6dfc313795a732d1,Me duelen los huevos,Los Albercones,7a,100,2
5fd796dc6dfc313795a732d2,El canalillo de la Mari,Escalera Arabe,6b+,100,3
5fd796dc6dfc313795a732d3,Sheik Tu Dinero,Escalera Arabe,7a,100,3
5fd796dc6dfc313795a732d4,El virgo de vicenteta,Los Albercones,6b+,99,3
5fd796dc6dfc313795a732d5,La Columna de Gollum,Makinodromo,7b,97,4
5fd796dc6dfc313795a732d6,Los siete Larrys,Los tigres,7b,96,3
5fd796dc6dfc313795a732d7,Swimming Through a Shark Attack,Poema de Roca,8a+,92,4
5fd796dc6dfc313795a732d8,Mataillos Lugarenos,Las Encantadas,6c,89,2
5fd796dc6dfc313795a732d9,Bohem Destrell,Las Encantadas,6a+,88,2
5fd796dc6dfc313795a732da,Stanage Girls,Los Albercones,6a,88,3
5fd796dc6dfc313795a732db,Hamunaptra,Momia,7c,88,3
5fd796dc6dfc313795a732dc,Dura vida de un frekee,Las Encantadas,6c+,87,4
5fd796dc6dfc313795a732dd,Un lait fraiche pour monsieur,Las Encantadas,7b,85,3
5fd796dc6dfc313795a732de,Filou,Escalera Arabe,6a,84,1
5fd796dc6dfc313795a732df,Porrot,Makinodromo,7c+,83,4
5fd796dc6dfc313795a732e0,Al Hauira,Makinodromo,7a+,81,3
5fd796dc6dfc313795a732e1,Bladerunner,Escalera Arabe,6a,80,4
5fd796dc6dfc313795a732e2,Chorro mandu,Las Encantadas,7a+,79,3
5fd796dc6dfc313795a732e3,Oceano Gris,Los Albercones,7a,78,2
5fd796dc6dfc313795a732e4,Engendro caneki,Escalera Arabe,6b,78,3
5fd796dc6dfc313795a732e5,Thunder struck,Poema de Roca,7c+,77,3
5fd796dc6dfc313795a732e6,La Princesa Carol,Poema de Roca,5c,76,3
5fd796dc6dfc313795a732e7,Nanuz,Solarium,6a+,76,2
5fd796dc6dfc313795a732e8,Dos Tetas Tiran,Suizo,6b+,75,4
5fd796dc6dfc313795a732e9,El Truco del Almendruco,Los Albercones,7a,74,3
5fd796dc6dfc313795a732ea,Atlas Shrieked,Makinodromo,7c+,74,4
5fd796dc6dfc313795a732eb,Diedro torpedol,Escalera Arabe,6c,72,3
5fd796dc6dfc313795a732ec,Deprisa y con Bulla,Solarium,6c,72,2
5fd796dc6dfc313795a732ed,Mikita Power,Momia,6c,72,2
5fd796dc6dfc313795a732ee,Gaia,Momia,6c,71,2
5fd796dc6dfc313795a732ef,Last minute,Las Encantadas,7a,71,3
5fd796dc6dfc313795a732f0,Newie,Poema de Roca,6b+,71,2
5fd796dc6dfc313795a732f1,Escalopendra Guajani,Escalera Arabe,6b+,70,3
5fd796dc6dfc313795a732f2,Guiris Go Home,Los tigres,7a,69,3
