_id,route name,sector name,grade,ascents,stars
5fd783806dfc313795a6fb3e,LA SONRISA DEL PAYASO,Laboratorio,6C+,110,4
5fd783806dfc313795a6fb3f,los guerreros,Laboratorio,6C,79,4
5fd783806dfc313795a6fb40,N.N.,Unknown Sector,6C,70,4
5fd783806dfc313795a6fb41,La Cueva,Quebrantaherraduras,7A+,52,4
5fd783806dfc313795a6fb42,N.N.,Laboratorio,6B+,47,3
5fd783806dfc313795a6fb43,Misoginia,Laboratorio,6C+,44,4
5fd783806dfc313795a6fb44,Tritalon,La Cuesta,7A,43,4
5fd783806dfc313795a6fb45,La Chapa Verde,Quebrantaherraduras,7A,43,4
5fd783806dfc313795a6fb46,El matiz,El Laboratorio,6C,43,3
5fd783806dfc313795a6fb47,"Sancho's Move",Crossroads,7A,43,3
5fd783806dfc313795a6fb48,La ardilla,Laboratorio,6B,42,3
5fd783806dfc313795a6fb49,El Yugo,Laboratorio,7A,41,4
5fd783806dfc313795a6fb4a,El Pequeño de Los Dalton,Crossroads,7A+,39,4
5fd783806dfc313795a6fb4b,EL PETIT SUISSE,Laboratorio,6B+,36,3
5fd783806dfc313795a6fb4c,el belen,Laboratorio,7C,36,4
5fd783806dfc313795a6fb4d,Misoginia sit start,Laboratorio,7A,35,3
5fd783806dfc313795a6fb4e,El Compás,La Cuesta,6C,31,4
5fd783806dfc313795a6fb4f,el ocaso de los dioses,Cancho Islazo,7A,31,3
5fd783806dfc313795a6fb50,El talador,Laboratorio,7A+,30,4
5fd783806dfc313795a6fb51,El Garbancito,Laboratorio,7A,29,3
5fd783806dfc313795a6fb52,El Maestro de la Luz,Laboratorio,6C,29,3
5fd783806dfc313795a6fb53,El filo,Puntos azules,7A,28,4
5fd783806dfc313795a6fb54,El Hechicero,Laboratorio,7B+,28,4
5fd783806dfc313795a6fb55,Gargantás,Quebrantaherraduras,7A,28,4
5fd783806dfc313795a6fb56,La cueva negra,Quebrantaherraduras,6B,28,3
5fd783806dfc313795a6fb57,El Cubista,La Cuesta,6C+,27,4
5fd783806dfc313795a6fb58,La Mamada Perdida,Cancho Islazo,7B+,26,4
5fd783806dfc313795a6fb59,El Matiz,Laboratorio,6C,25,4
5fd783806dfc313795a6fb5a,arista de la trave,Quebrantaherraduras,7A,24,4
5fd783806dfc313795a6fb5b,El Abominable,Laboratorio,7A,24,4
5fd783806dfc313795a6fb5c,Diedro Verde,Cancho Islazo,6C,24,4
5fd783806dfc313795a6fb5d,Misoginia,Laboratorio Central,7A,23,4
5fd783806dfc313795a6fb5e,La zorrera,Cantocochino,6C,23,4
5fd783806dfc313795a6fb5f,requiem por un sueño,Cancho Islazo,7A+,23,4
5fd783806dfc313795a6fb60,N.N.,Cantocochino,6B+,22,3
5fd783806dfc313795a6fb61,Golum,Laboratorio,7A+,22,4
5fd783806dfc313795a6fb62,robin,La foca,7A,22,5
5fd783806dfc313795a6fb63,buscando a klem,Cantocochino,7A+,21,4
5fd783806dfc313795a6fb64,bloque sharmatico,Laboratorio,7B,21,4
5fd783806dfc313795a6fb65,The Prawn,Crossroads,7B,21,5
5fd783806dfc313795a6fb66,El Contorsionista,Cantocochino,7B,20,4
5fd783806dfc313795a6fb67,Air,Cancho Islazo,7C,20,4
5fd783806dfc313795a6fb68,dinamita jump,Laboratorio,7B,20,4
5fd783806dfc313795a6fb69,adriansito morales,Quebrantaherraduras,7A,20,4
5fd783806dfc313795a6fb6a,Doble agujero,La Cuesta,6B+,19,3
5fd783806dfc313795a6fb6b,pi,Cancho Islazo,7A,19,4
5fd783806dfc313795a6fb6c,Desde las profundidades,Laboratorio,7A,18,4
5fd783806dfc313795a6fb6d,Peraleslosgramos,Quebrantaherraduras,7A,18,4
5fd783806dfc313795a6fb6e,La Guadaña,La foca,7A,18,4
5fd783806dfc313795a6fb6f,Manga Larga,Laboratorio,6C,18,3
5fd783806dfc313795a6fb70,El Palmero,Laboratorio,7B,18,4
5fd783806dfc313795a6fb71,Caligula,Quebrantaherraduras,7C,18,4
5fd783806dfc313795a6fb72,Melancolía,La foca,7B,17,4
5fd783806dfc313795a6fb73,El Duelo,Laboratorio,7A,17,4
5fd783806dfc313795a6fb74,el jardin de mi casa,La foca,6C+,17,4
5fd783806dfc313795a6fb75,El viajero,El Laboratorio,7C+,17,4
5fd783806dfc313795a6fb76,N.N.,Quebrantaherraduras,6B+,16,4
5fd783806dfc313795a6fb77,Wild Country,Nébula,6B+,16,4
5fd783806dfc313795a6fb78,El secreto del broncano,Nébula,7A,16,4
5fd783806dfc313795a6fb79,El aprendiz de mago (direct),Laboratorio,7A,16,4
5fd783806dfc313795a6fb7a,The Dihedral,Quebrantaherraduras,7A+,16,3
5fd783806dfc313795a6fb7b,Magic Morgan,Laboratorio,7A+,15,3
5fd783806dfc313795a6fb7c,La Cornisa Cantabrica,Laboratorio,7A+,15,4
5fd783806dfc313795a6fb7d,Bully de Peich,La Cuesta,7A+,15,4
5fd783806dfc313795a6fb7e,Alligator,La Cuesta,7B,15,4
5fd783806dfc313795a6fb7f,N.N.,La dehesa,6C,15,4
5fd783806dfc313795a6fb80,Cefalocaudal,Quebrantaherraduras,7A+,15,4
5fd783806dfc313795a6fb81,el bulder del buho,Quebrantaherraduras,6C,15,3
5fd783806dfc313795a6fb82,Kung fu panda,Cancho Islazo,7A+,15,3
5fd783806dfc313795a6fb83,La Vira,Puntos azules,7A+,14,4
5fd783806dfc313795a6fb84,N.N.,Cancho Islazo,6B+,14,3
5fd783806dfc313795a6fb85,Dóberman,Dehesa central,7A,14,4
5fd783806dfc313795a6fb86,El Hormiguero,Crossroads,6A+,13,3
5fd783806dfc313795a6fb87,FAR WEST,El Rodaje,7C+,13,5
5fd783806dfc313795a6fb88,El Abo,Laboratorio,7A,13,4
5fd783806dfc313795a6fb89,Miradas,Laboratorio,6C+,13,5
5fd783806dfc313795a6fb8a,Edad de Piedra,Crossroads,7A,13,3
5fd783806dfc313795a6fb8b,Puntos Hogar,Quebrantaherraduras,7A+,13,2
5fd783806dfc313795a6fb8c,ciudad sin ley,El Rodaje,7C+,13,4
5fd783806dfc313795a6fb8d,EL CABALLITO DE MAR,La dehesa,5C,13,5
5fd783806dfc313795a6fb8e,El muneco de trapo,Puntos azules,7B,12,4
5fd783806dfc313795a6fb8f,Domingo de Cañas,Crossroads,7A,12,4
5fd783806dfc313795a6fb90,Techo del Javi,Crossroads,7A,12,4
5fd783806dfc313795a6fb91,Cristiano Rumano,Crossroads,6C,12,3
5fd783806dfc313795a6fb92,La Herradura,Laboratorio,6B+,12,3
5fd783806dfc313795a6fb93,N.N.,Puntos azules,6C,12,3
5fd783806dfc313795a6fb94,Los tres mosqueteros,Laboratorio,6C,12,4
5fd783806dfc313795a6fb95,Circo Loco,La foca,7B,12,4
5fd783806dfc313795a6fb96,dos pasos,Laboratorio,7B,12,3
5fd783806dfc313795a6fb97,manzanitos flow izq,Cancho Islazo,7A,12,3
5fd783806dfc313795a6fb98,Ronroneo,El Laboratorio,7B,12,4
5fd783806dfc313795a6fb99,Placa del dado,Cancho Islazo,7A,12,3
5fd783806dfc313795a6fb9a,orco,La Cuesta,6B,12,2
5fd783806dfc313795a6fb9b,Ninja high school,La Ermita,7B,12,4
5fd783806dfc313795a6fb9c,El techo,Laboratorio,7B+,11,5
5fd783806dfc313795a6fb9d,Magic Line,Nébula,7A,11,3
5fd783806dfc313795a6fb9e,Elfo,La Cuesta,6B,11,3
5fd783806dfc313795a6fb9f,Placa conchas,Puntos azules,6C,11,3
5fd783806dfc313795a6fba0,Air,Unknown Sector,7C,11,4
5fd783806dfc313795a6fba1,THE CORNER,La dehesa,6C+,11,3
5fd783806dfc313795a6fba2,Salida de Emergencia,El Depósito,7B,11,4
5fd783806dfc313795a6fba3,La ardilla directa,Laboratorio,6C+,11,4
5fd783806dfc313795a6fba4,Magic Line,Nébula,7A,11,3
5fd783806dfc313795a6fba5,El techo,Laboratorio,7B+,11,5
5fd783806dfc313795a6fba6,Babalum,Laboratorio,7B+,10,5
5fd783806dfc313795a6fba7,la sonrisa del payaso,El Laboratorio,6C+,10,3
5fd783806dfc313795a6fba8,Adrinaline,Quebrantaherraduras,7A,10,5
5fd783806dfc313795a6fba9,La mamada perdida,Unknown Sector,7B+,10,5
5fd783806dfc313795a6fbaa,Groucho,El Rinconcito,7C,10,5
5fd783806dfc313795a6fbab,cambiala ahora,Cancho Islazo,7B,10,4
5fd783806dfc313795a6fbac,El Belen,Unknown Sector,7C,10,4
5fd783806dfc313795a6fbad,Conflictos personales,La foca,7A,10,4
5fd783806dfc313795a6fbae,El arañazo,La Cuesta,7B,10,4
5fd783806dfc313795a6fbaf,Rumore,Nébula,7A,10,3
5fd783806dfc313795a6fbb0,El Acebo,Laboratorio Central,6A+,10,4
5fd783806dfc313795a6fbb1,Robincolia,La foca,7B,10,5
5fd783806dfc313795a6fbb2,El varanito,Quebrantaherraduras,7B,10,5
5fd783806dfc313795a6fbb3,Yonkies Pedriceros,Laboratorio,7B,10,2
5fd783806dfc313795a6fbb4,Arvona,La nada,6B,10,3
5fd783806dfc313795a6fbb5,El equilibrista,La nada,6C,10,3
5fd783806dfc313795a6fbb6,rotomotor,Los Martínez,7B+,10,4
5fd783806dfc313795a6fbb7,Señorita Caravater,Crossroads,7A,10,4
5fd783806dfc313795a6fbb8,El bello pie-mano,Cancho Islazo,6C,10,4
5fd783806dfc313795a6fbb9,"Sancho's move",Crossroads Este,7A,9,3
5fd783806dfc313795a6fbba,Jack destriper,Crossroads,7B,9,3
5fd783806dfc313795a6fbbb,la ardilla izquierda,Laboratorio Central,6A+,9,4
5fd783806dfc313795a6fbbc,placa,Laboratorio,6A,9,2
5fd783806dfc313795a6fbbd,El coleccionista de uñas,Laboratorio,7A+,9,3
5fd783806dfc313795a6fbbe,el filo del belen,Laboratorio,6C+,9,3
5fd783806dfc313795a6fbbf,La Columna de Hércules,Laboratorio,6C+,9,3
5fd783806dfc313795a6fbc0,Groucho,Unknown Sector,7C,9,4
5fd783806dfc313795a6fbc1,Travesia filo belén,Laboratorio,6C+,9,3
5fd783806dfc313795a6fbc2,Se masca la tragedia,La dehesa,7B,9,5
5fd783806dfc313795a6fbc3,Digiridoo,Laboratorio,7B,9,3
5fd783806dfc313795a6fbc4,Cazuelita plateá,La dehesa,7A,9,3
5fd783806dfc313795a6fbc5,musgoevash,Cantocochino,6B+,9,4
5fd783806dfc313795a6fbc6,Doberman,La dehesa,7A,9,3
5fd783806dfc313795a6fbc7,doble moral,Crossroads,7A,9,3
5fd783806dfc313795a6fbc8,La zorrera izqda,Cantocochino,6A,9,1
5fd783806dfc313795a6fbc9,La chincheta,Cantocochino,6B,9,1
5fd783806dfc313795a6fbca,la ardilla izquierda,Laboratorio Central,6A+,9,4
5fd783806dfc313795a6fbcb,"Sancho's move",Crossroads Este,7A,9,3
5fd783806dfc313795a6fbcc,La trave,Laboratorio,6C,9,2
5fd783806dfc313795a6fbcd,Dos Hombres y un destino,El Rodaje,8A+,9,5
5fd783806dfc313795a6fbce,placa boy,Laboratorio,6C,8,3
5fd783806dfc313795a6fbcf,Parálisis Cerebral,Quebrantaherraduras,6C+,8,4
5fd783806dfc313795a6fbd0,El contorsionista,Unknown Sector,7B,8,5
5fd783806dfc313795a6fbd1,Babaremen,Laboratorio,7A,8,5
5fd783806dfc313795a6fbd2,N.N.,El Laboratorio,6C+,8,3
5fd783806dfc313795a6fbd3,Sunset Boulevard,Quebrantaherraduras,7B+,8,4
5fd783806dfc313795a6fbd4,Los Martinez,La Ermita,7A+,8,5
5fd783806dfc313795a6fbd5,travel power,Cantocochino,7A,8,4
5fd783806dfc313795a6fbd6,Serval de los Cazadores,Canto Cochino/Travel power,7A,8,4
5fd783806dfc313795a6fbd7,El árbol del ahorcado,La dehesa,7A+,8,5
5fd783806dfc313795a6fbd8,Vagina Esquizofrenica,Depositos,7C,8,4
5fd783806dfc313795a6fbd9,Doble helice,Depositos,7A+,8,3
5fd783806dfc313795a6fbda,N.N.,Crossroads,6A+,8,4
5fd783806dfc313795a6fbdb,Sumideros de Pinocha,Crossroads,7A,8,3
5fd783806dfc313795a6fbdc,fantasy line,Depositos,7A,8,4
5fd783806dfc313795a6fbdd,Vieja Gloria,Crossroads,7B,8,4
5fd783806dfc313795a6fbde,el techo de jaime,Crossroad,7B,8,5
5fd783806dfc313795a6fbdf,el tiburon,La nada,6B+,8,5
5fd783806dfc313795a6fbe0,El Diedro,Laboratorio Central,5B,8,5
