_id,route name,sector name,grade,ascents,stars
5fd79df76dfc313795a73cac,Buf!,Chorreras,7a,227,4
5fd79df76dfc313795a73cad,To pa ti,To pa ti,7a,174,4
5fd79df76dfc313795a73cae,Fes lo que puguis,Fraguel,7b,169,3
5fd79df76dfc313795a73caf,Colgao,Les Perxes,7b,162,4
5fd79df76dfc313795a73cb0,Bobo dodo,Fraguel,7a,146,4
5fd79df76dfc313795a73cb1,jungle hop,Fraguel,7a+,117,4
5fd79df76dfc313795a73cb2,Le gorille a une bonne mine,Fraguel,7c,114,4
5fd79df76dfc313795a73cb3,Hoodoo Gurus,Les Perxes,7b+,113,3
5fd79df76dfc313795a73cb4,"On es l'Avi",Fraguel,7b+,108,4
5fd79df76dfc313795a73cb5,Cous-Cous,Fraguel,6c,102,4
5fd79df76dfc313795a73cb6,Si lo sé no vengo,Sa Gubia,7a,98,4
5fd79df76dfc313795a73cb7,Farina de forca,Gorg blau,7b,94,3
5fd79df76dfc313795a73cb8,Octopussy,"S'estret",7a,91,4
5fd79df76dfc313795a73cb9,Afroman,Porto Cristo,7b,89,4
5fd79df76dfc313795a73cba,"Sostre d'en burot",Valldemossa,6c+,88,4
5fd79df76dfc313795a73cbb,El sudaca,"S'estret",7a+,85,3
5fd79df76dfc313795a73cbc,Football fan,Football fan,8a,83,4
5fd79df76dfc313795a73cbd,Sa festa,Gorg blau,7c,83,4
5fd79df76dfc313795a73cbe,Chorrera,Puig de Garrafa,7a,80,4
5fd79df76dfc313795a73cbf,El Guardian,El museo,7b,77,4
5fd79df76dfc313795a73cc0,Toten Hosen,Les Perxes,7c,76,4
5fd79df76dfc313795a73cc1,Gueropa,Gorg blau,7a,74,3
5fd79df76dfc313795a73cc2,"Terre d'adventure",Fraguel,7c+,74,4
5fd79df76dfc313795a73cc3,lisa simpson,Gorg blau,6b+,74,4
5fd79df76dfc313795a73cc4,Bobo dodo,Fraguel,7b+,73,4
5fd79df76dfc313795a73cc5,Estreny els dits,Gorg blau,7b,72,3
5fd79df76dfc313795a73cc6,Attack of the spindly killer fish,Cala Sa Nau,7a+,70,3
5fd79df76dfc313795a73cc7,Pink panther,Fraguel,6a+,68,3
5fd79df76dfc313795a73cc8,Sa fosca,Gorg blau,7b+,65,4
5fd79df76dfc313795a73cc9,Kum laude,"S'estret",7a,65,3
5fd79df76dfc313795a73cca,Hob nobs,Alaró,7a,64,4
5fd79df76dfc313795a73ccb,Petit Poi,Les Perxes,6c+,63,2
5fd79df76dfc313795a73ccc,Na Rua,Puig de Garrafa,7b,63,4
5fd79df76dfc313795a73ccd,N.N.,La reserva,7a+,59,4
5fd79df76dfc313795a73cce,To pa ti,Puig de Garrafa,7a,59,4
5fd79df76dfc313795a73ccf,Patito feo,Port De Soller,6b,59,3
5fd79df76dfc313795a73cd0,Du voras,El museo,7b,59,3
5fd79df76dfc313795a73cd1,Odio a cobi,"S'estret",7b,57,4
5fd79df76dfc313795a73cd2,"Aixo es l'habana",Gorg blau,6b+,57,4
5fd79df76dfc313795a73cd3,Bisexual,Cala Barques,7a,57,4
5fd79df76dfc313795a73cd4,Fill de puta,Gorg blau,7a,55,3
5fd79df76dfc313795a73cd5,El mar del amor,Port De Soller,6a,54,3
5fd79df76dfc313795a73cd6,Karakorum,Gorg blau,7c,54,4
5fd79df76dfc313795a73cd7,Blobland,Port De Soller,6c,54,4
5fd79df76dfc313795a73cd8,Tetrix,"S'estret",7b+,53,4
5fd79df76dfc313795a73cd9,Aloha From Hell,Fraguel,7c,53,3
5fd79df76dfc313795a73cda,Ja Som Five,Port De Soller,6c+,50,4
5fd79df76dfc313795a73cdb,N.N.,Unknown Sector,7a,50,4
5fd79df76dfc313795a73cdc,goo goo max,Fraguel,8a,49,4
5fd79df76dfc313795a73cdd,Pilar,Alaró,7b,49,4
