_id,route name,sector name,grade,ascents,stars
5fd7950c6dfc313795a71b98,Que pasa neng?,Espadelles,7a,1 041,3
5fd7950c6dfc313795a71b99,Franja de ponent,Espadelles,7a,845,3
5fd7950c6dfc313795a71b9a,Chachi qui chapi,Can Torxa,7a,680,4
5fd7950c6dfc313795a71b9b,"Carn d'Olla",Can verdures,7a,647,3
5fd7950c6dfc313795a71b9c,N.N.,Espadelles,6c+,600,3
5fd7950c6dfc313795a71b9d,"O'Mar Galef",Can verdures,7b,588,3
5fd7950c6dfc313795a71b9e,N.N.,Unknown Crag,7a+,587,3
5fd7950c6dfc313795a71b9f,Amb pal no dona pal,Espadelles,7b,551,3
5fd7950c6dfc313795a71ba0,Montgronyeta,Finestra,7b+,502,4
5fd7950c6dfc313795a71ba1,Transilvania,Espadelles,8a,475,4
5fd7950c6dfc313795a71ba2,Pitus i flautes,Finestra,7b,454,3
5fd7950c6dfc313795a71ba3,Beta de boira,Espadelles,7a,437,3
5fd7950c6dfc313795a71ba4,Magrana,Finestra,6b+,433,4
5fd7950c6dfc313795a71ba5,Antologica,Finestra,7c,430,4
5fd7950c6dfc313795a71ba6,Dr. Feelgood,Cova Soleiada,8a,410,4
5fd7950c6dfc313795a71ba7,Pedopulsion,Ca La Marta,7a,404,2
5fd7950c6dfc313795a71ba8,Ermiñaño,"Camí de l'ermita",7a,390,3
5fd7950c6dfc313795a71ba9,La corva de la felicitat,Tenebres,7c,378,4
5fd7950c6dfc313795a71baa,Draculin,Espadelles,7a+,370,3
5fd7950c6dfc313795a71bab,Magic festival,Tenebres,7c,363,4
5fd7950c6dfc313795a71bac,Indian holidays,Can Dit Gros,7a,349,4
5fd7950c6dfc313795a71bad,Festa fotre,Finestra,7c,340,4
5fd7950c6dfc313795a71bae,Samson,Can verdures,6c+,335,3
5fd7950c6dfc313795a71baf,Baby siter,Espadelles,7a,333,3
5fd7950c6dfc313795a71bb0,Bitx,Can verdures,7a,324,3
5fd7950c6dfc313795a71bb1,Sátiva Patática,Tenebres,8a,323,4
5fd7950c6dfc313795a71bb2,El día de la bestia,Can verdures,7a,322,2
5fd7950c6dfc313795a71bb3,"Laverint d'ombres",Finestra,7b,318,4
5fd7950c6dfc313795a71bb4,Malasombra,Espadelles,7c+,306,4
5fd7950c6dfc313795a71bb5,Lobo López,Can verdures,7a,303,3
5fd7950c6dfc313795a71bb6,Freekandó,Can Torxa,6b,296,4
5fd7950c6dfc313795a71bb7,Aeroplastica,Finestra,7c+,292,3
5fd7950c6dfc313795a71bb8,Tropicana,Finestra,7b,289,3
5fd7950c6dfc313795a71bb9,"Gos roig, gos boig",Can verdures,6c,287,3
5fd7950c6dfc313795a71bba,Fanatic,Culample4,7a+,276,4
5fd7950c6dfc313795a71bbb,Tsunami,Laboratori,7c,269,3
5fd7950c6dfc313795a71bbc,Maligna,Espadelles,7c+,268,4
5fd7950c6dfc313795a71bbd,Ingravitus,Finestra,7a,266,2
5fd7950c6dfc313795a71bbe,Zona mixta,Espadelles,7b,249,3
5fd7950c6dfc313795a71bbf,Guirlache,Espadelles,6c,245,3
5fd7950c6dfc313795a71bc0,Memoria histerica,Espadelles,6b+,244,3
5fd7950c6dfc313795a71bc1,El Pancho,Culample4,7a,243,4
5fd7950c6dfc313795a71bc2,Kagate kid,"Camí de l'ermita",7a,241,4
5fd7950c6dfc313795a71bc3,Iler-crack,Espadelles,7a,239,3
5fd7950c6dfc313795a71bc4,Murdoc,Can Pesafigues,6a+,238,3
5fd7950c6dfc313795a71bc5,El espinazo del diablo,Cingles del Molí,7a+,233,4
5fd7950c6dfc313795a71bc6,Sutils perfums,Ca La Marta,7a,225,4
5fd7950c6dfc313795a71bc7,El Pesafigues,Can Pesafigues,6b,225,3
5fd7950c6dfc313795a71bc8,Murciegalus,Can verdures,6b+,223,3
5fd7950c6dfc313795a71bc9,Yihad,"Balco de l'Ermita",7b+,222,4
5fd7950c6dfc313795a71bca,Fenoman,Finestra,7b+,221,3
5fd7950c6dfc313795a71bcb,El senyor de les mosques,Can verdures,6b+,220,3
5fd7950c6dfc313795a71bcc,Instint animal,Ca La Marta,7b,207,3
5fd7950c6dfc313795a71bcd,Reventuning,Espadelles,7a,205,3
5fd7950c6dfc313795a71bce,Las avispas,Can Torxa,7a,205,2
5fd7950c6dfc313795a71bcf,Palestina,"Balco de l'Ermita",7c,203,4
5fd7950c6dfc313795a71bd0,La gomorra,Espadelles,7b+,199,3
5fd7950c6dfc313795a71bd1,Okemaka,Finestra,6c,195,3
5fd7950c6dfc313795a71bd2,Baginades,Can verdures,6b+,195,3
5fd7950c6dfc313795a71bd3,Phaloides,Ca La Marta,7a,193,4
5fd7950c6dfc313795a71bd4,Mar de fons,Cabernet,7b,193,3
5fd7950c6dfc313795a71bd5,Doctor loco,Cingles del Molí,6a+,189,3
5fd7950c6dfc313795a71bd6,Tu eres eso,Can Dit Gros,6c+,189,3
