_id,route name,sector name,grade,ascents,stars
5fd761366dfc313795a6c770,Toma Castañazo,El Camino,7a+,1 274,3
5fd761366dfc313795a6c771,Billy el rapido,El Camino,7a+,1 170,3
5fd761366dfc313795a6c772,Bis a bis,Las Ventanas del Mascun,7a,1 022,3
5fd761366dfc313795a6c773,Juan y Fran se nos van,Las Ventanas del Mascun,7a+,906,4
5fd761366dfc313795a6c774,Lola,Barrio de los Gitanos,7a+,858,4
5fd761366dfc313795a6c775,Pince Sans Rire,Pince Sans Rire,7b+,847,4
5fd761366dfc313795a6c776,De 8 a 14,Egocentrismo,7a,811,3
5fd761366dfc313795a6c777,Maria ponte el arnes,Pince Sans Rire,7b+,761,4
5fd761366dfc313795a6c778,Pequeño Pablo,Egocentrismo,7b,739,4
5fd761366dfc313795a6c779,Tragaldabas,Aquest any sí,7a+,738,3
5fd761366dfc313795a6c77a,Coco Loco,La Surgencia,7a+,722,4
5fd761366dfc313795a6c77b,Orgasmica,El Camino,7a+,707,3
5fd761366dfc313795a6c77c,N.N.,Unknown Sector,7a,667,3
5fd761366dfc313795a6c77d,Café con Leche,Cafè Solo,7b,606,3
5fd761366dfc313795a6c77e,Nanuk,Gran Bóveda,7c,595,3
5fd761366dfc313795a6c77f,La larva,El Camino,7a,589,2
5fd761366dfc313795a6c780,Aquest any si,Aquest any sí,7b+,588,4
5fd761366dfc313795a6c781,Caprichos de lujuria,Aquest any sí,7b,578,3
5fd761366dfc313795a6c782,"L'any que ve tambe",Gran Bóveda,7c,573,4
5fd761366dfc313795a6c783,Monica,Cafè Solo,7b,571,3
5fd761366dfc313795a6c784,Acracia,Bikini,7a,561,3
5fd761366dfc313795a6c785,A cravita,Las Ventanas del Mascun,8a,550,4
5fd761366dfc313795a6c786,Sopas de ajo,Gran Bóveda,7b+,534,4
5fd761366dfc313795a6c787,Gracias Fina,Pince Sans Rire,8a,510,4
5fd761366dfc313795a6c788,Roxy la Palmera,Criminal Tango,6b+,504,4
5fd761366dfc313795a6c789,Conejo caliente,El Camino,7a+,493,3
5fd761366dfc313795a6c78a,Egocentrismo,Egocentrismo,7c,484,4
5fd761366dfc313795a6c78b,Caco que te mato,Aquest any sí,7b,481,3
5fd761366dfc313795a6c78c,Pire en el fire,Pince Sans Rire,7a,474,3
5fd761366dfc313795a6c78d,Pintacoda,Aquest any sí,7a+,472,3
5fd761366dfc313795a6c78e,Coliseum,Gran Bóveda,8a,462,4
5fd761366dfc313795a6c78f,La cena de isidoro,Las Ventanas del Mascun,7b+,460,3
5fd761366dfc313795a6c790,Akelarre,Pince Sans Rire,7c+,457,4
5fd761366dfc313795a6c791,Felipe el Hermoso,El Camino,6c,447,3
5fd761366dfc313795a6c792,N.N.,Las Ventanas del Mascun,6c+,438,3
5fd761366dfc313795a6c793,Made in mascun,Las Ventanas del Mascun,7c+,426,4
5fd761366dfc313795a6c794,El delfín,Las Ventanas del Mascun,7c+,425,4
5fd761366dfc313795a6c795,Esclava laboral,Pince Sans Rire,6c+,423,3
5fd761366dfc313795a6c796,Tarzanin de muniellos,El Camino,7a+,401,3
5fd761366dfc313795a6c797,El Corredor de la Muerte,La Surgencia,8a,401,4
5fd761366dfc313795a6c798,The Far Faders West,Pince Sans Rire,7a+,401,4
5fd761366dfc313795a6c799,El Pupas,El Camino,7b,399,3
5fd761366dfc313795a6c79a,El Bicho,La Surgencia,7b,393,3
5fd761366dfc313795a6c79b,"L'ombra de la barca",Aquest any sí,6b+,388,3
5fd761366dfc313795a6c79c,Para mis amigos,El Camino,6a+,384,2
5fd761366dfc313795a6c79d,La tenada,El Camino,6c+,373,3
5fd761366dfc313795a6c79e,Argo,Gran Bóveda,8a,373,4
5fd761366dfc313795a6c79f,Sayonara Baby,La Surgencia,7c,362,4
5fd761366dfc313795a6c7a0,Knuff,El Camino,6b,355,2
5fd761366dfc313795a6c7a1,El enano de Siberia,Pince Sans Rire,6b+,351,3
5fd761366dfc313795a6c7a2,El sici,Aquest any sí,7b+,350,4
5fd761366dfc313795a6c7a3,Bugs Bunny,El Camino,6a+,345,2
5fd761366dfc313795a6c7a4,Kalandraka,La Surgencia,7c,340,4
5fd761366dfc313795a6c7a5,Bikini,Bikini,6a,339,2
5fd761366dfc313795a6c7a6,El Sepes,Gran Bóveda,8a,324,3
5fd761366dfc313795a6c7a7,Pasaba por aqui,El callejón,7a,323,3
5fd761366dfc313795a6c7a8,Los loros,El Camino,6c,322,2
5fd761366dfc313795a6c7a9,Zero de conduite,Cafè Solo,7a+,321,2
5fd761366dfc313795a6c7aa,The Kings of Metal,Las Ventanas del Mascun,8a,317,4
5fd761366dfc313795a6c7ab,Tu eres la primera,Bisagra,7a,317,3
5fd761366dfc313795a6c7ac,Ambicion cero,Gran Bóveda,8a,314,3
5fd761366dfc313795a6c7ad,Good txingu good,El Camino,6b+,313,3
5fd761366dfc313795a6c7ae,Soldados de salamina,El Vaso,7b+,310,4
5fd761366dfc313795a6c7af,Tierra y libertad,Gran Bóveda,7b,309,3
5fd761366dfc313795a6c7b0,Sonrisa vertical,El Camino,6b,303,2
5fd761366dfc313795a6c7b1,Clyde,El Camino,6b,303,2
5fd761366dfc313795a6c7b2,Pequeno bravo,Bulder de Jon,7c,302,3
5fd761366dfc313795a6c7b3,Los Cocoteros,Aquest any sí,7c,298,3
5fd761366dfc313795a6c7b4,Pedrosaurio,Egocentrismo,7b,294,3
5fd761366dfc313795a6c7b5,El pisaciclico,El Camino,7b,294,3
5fd761366dfc313795a6c7b6,La alimana de Ocana,Pince Sans Rire,6b,294,3
5fd761366dfc313795a6c7b7,Tragaldabas,Aquest any sí,7c+,294,3
5fd761366dfc313795a6c7b8,Mas tortura,El Camino,7a+,291,2
5fd761366dfc313795a6c7b9,La Pitón,Pince Sans Rire,7c,291,4
5fd761366dfc313795a6c7ba,Mal de amores,Las Ventanas del Mascun,8a+,291,4
5fd761366dfc313795a6c7bb,Cañita brava,Las Ventanas del Mascun,7b+,288,3
5fd761366dfc313795a6c7bc,Kikiriki,"Piton d'o Cuervo",7b,278,3
5fd761366dfc313795a6c7bd,"El clan de los M'klau",Gran Bóveda,7b+,276,3
5fd761366dfc313795a6c7be,Los Hermanos Peruanos,Pince Sans Rire,6b+,275,3
5fd761366dfc313795a6c7bf,Paisanu,Egocentrismo,7a+,267,2
5fd761366dfc313795a6c7c0,Spasiba + Iva,Aquest any sí,7a,266,3
5fd761366dfc313795a6c7c1,Les cadres regeneren,Gran Bóveda,8a,264,4
5fd761366dfc313795a6c7c2,Eliminator,Eliminator,7a,263,2
5fd761366dfc313795a6c7c3,Yo que me se,El Camino,6b,258,2
5fd761366dfc313795a6c7c4,La del taco,Las Ventanas del Mascun,7a+,258,2
5fd761366dfc313795a6c7c5,Comando coño,Gran Bóveda,7b+,256,4
